book,vote,vote_title,row_type,head_code,head_title,approved_estimates_2025_2026,gross_expenditure_2026_2027,appropriations_in_aid_2026_2027,net_expenditure_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-development-book-volume-iii-1104-2111,1332,State Department for Forestry,vote_total,,TOTAL FOR VOTE,4936041057,9286000000,910000000,8376000000,10088402900,14080402900,998,yes
fy-2026-27-development-book-volume-iii-1104-2111,2021,National Land Commission,head,2021100200,ICT Networking & Infrastructure,22020000,79000000,0,79000000,80000000,36800000,1017,yes
fy-2026-27-development-book-volume-iii-1104-2111,2021,National Land Commission,head,2021100500,Development of Inventory for Public Land,34084101,76490000,0,76490000,310000000,607000000,1017,yes
fy-2026-27-development-book-volume-iii-1104-2111,2021,National Land Commission,head,2021100600,Final Survey and Vesting of Compulsory Acquired Public Land,200000000,150000000,0,150000000,100000000,0,1017,yes
fy-2026-27-development-book-volume-iii-1104-2111,2021,National Land Commission,head,2021100800,Compulsory Land Acquisition,300000000,435000000,0,435000000,0,0,1017,yes
fy-2026-27-development-book-volume-iii-1104-2111,2021,National Land Commission,head,2021100900,Construction of County Offices,0,100000000,0,100000000,85000000,90000000,1017,yes
fy-2026-27-development-book-volume-iii-1104-2111,2021,National Land Commission,vote_total,,TOTAL FOR VOTE,556104101,840490000,0,840490000,575000000,733800000,1017,yes
fy-2026-27-development-book-volume-iii-1104-2111,2031,Independent Electoral and Boundaries Commission,head,2031101600,Construction of Uchaguzi Centre,0,0,0,0,96140000,137970000,1026,yes
fy-2026-27-development-book-volume-iii-1104-2111,2031,Independent Electoral and Boundaries Commission,head,2031101700,Construction of Office Block & Ware House - Nyandarua County,30000000,19000000,0,19000000,0,0,1026,yes
fy-2026-27-development-book-volume-iii-1104-2111,2031,Independent Electoral and Boundaries Commission,head,2031101900,Construction of Office Block & Ware House - Turkana County,0,42700000,0,42700000,6200000,3100000,1026,yes
fy-2026-27-development-book-volume-iii-1104-2111,2031,Independent Electoral and Boundaries Commission,vote_total,,TOTAL FOR VOTE,30000000,61700000,0,61700000,102340000,141070000,1026,yes
fy-2026-27-development-book-volume-iii-1104-2111,2061,Commission on Revenue Allocation,head,2061100100,Strengthening Kenya's Devolution Action Programme,0,97988996,0,97988996,104511004,22500000,1029,yes
fy-2026-27-development-book-volume-iii-1104-2111,2061,Commission on Revenue Allocation,vote_total,,TOTAL FOR VOTE,0,97988996,0,97988996,104511004,22500000,1029,yes
fy-2026-27-development-book-volume-iii-1104-2111,2071,Public Service Commission,head,2071100100,Refurbishment of Old Commission House WP Item No. D207 NB-NB 1501,0,50000000,0,50000000,55000000,0,1032,yes
fy-2026-27-development-book-volume-iii-1104-2111,2071,Public Service Commission,vote_total,,TOTAL FOR VOTE,0,50000000,0,50000000,55000000,0,1032,yes
fy-2026-27-development-book-volume-iii-1104-2111,2091,Teachers Service Commission,head,2091100100,Construction of County Office Accommodation,42000000,62000000,0,62000000,98000000,172000000,1035,yes
fy-2026-27-development-book-volume-iii-1104-2111,2091,Teachers Service Commission,head,2091100300,Kenya Primary Education Equity in Learning Program,423000000,330000000,0,330000000,352000000,477000000,1035,yes
fy-2026-27-development-book-volume-iii-1104-2111,2091,Teachers Service Commission,head,2091100500,Kenya Secondary Education Equity Improvement Program,206000000,350000000,0,350000000,350000000,380000000,1035,yes
fy-2026-27-development-book-volume-iii-1104-2111,2091,Teachers Service Commission,vote_total,,TOTAL FOR VOTE,671000000,742000000,0,742000000,800000000,1029000000,1035,yes
fy-2026-27-development-book-volume-iii-1104-2111,2111,Auditor General,head,2111101400,Construction of OAG Mombasa Office Block,300000000,300000000,0,300000000,300000000,300000000,1040,yes
fy-2026-27-development-book-volume-iii-1104-2111,2111,Auditor General,head,2111101500,Institutional Support to Office of the Auditor General,30000000,3100000,0,3100000,0,0,1040,yes
fy-2026-27-development-book-volume-iii-1104-2111,2111,Auditor General,vote_total,,TOTAL FOR VOTE,330000000,303100000,0,303100000,300000000,300000000,1040,yes
