book,vote,vote_title,programme_code,programme_title,prog_level,section,row_type,econ_code,econ_title,baseline_estimates_2025_2026,estimates_2026_2027,projected_estimates_2027_2028,projected_estimates_2028_2029,page,verified
fy-2026-27-program-based-1011-2151,1135,State Department for Youth Affairs and Creative Economy,1135,State Department for Youth Affairs and Creative Economy,vote,capital,econ,2600000,Capital Transfers to Govt. Agencies,34700000,2033530000,0,0,645,yes
fy-2026-27-program-based-1011-2151,1135,State Department for Youth Affairs and Creative Economy,1135,State Department for Youth Affairs and Creative Economy,vote,capital,econ,3100000,Non Financial Assets,130530000,104000000,153985000,131554550,645,yes
fy-2026-27-program-based-1011-2151,1135,State Department for Youth Affairs and Creative Economy,1135,State Department for Youth Affairs and Creative Economy,vote,current,current_total,,Current Expenditure,2892252840,2587377196,2705430000,2855530000,645,yes
fy-2026-27-program-based-1011-2151,1135,State Department for Youth Affairs and Creative Economy,1135,State Department for Youth Affairs and Creative Economy,vote,capital,capital_total,,Capital Expenditure,1286276325,3916340000,1974150000,2070640000,645,yes
fy-2026-27-program-based-1011-2151,1135,State Department for Youth Affairs and Creative Economy,1135,State Department for Youth Affairs and Creative Economy,vote,total,total,,Total Expenditure,4178529165,6503717196,4679580000,4926170000,645,yes
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,current,econ,2100000,Compensation to Employees,361935123,369000000,380320000,391646400,662,yes
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,current,econ,2200000,Use of Goods and Services,147349267,152164288,196101291,332693538,662,yes
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,current,econ,2600000,Current Transfers to Govt. Agencies,11719800000,12727968000,12865000000,13294000000,662,yes
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,current,econ,3100000,Non Financial Assets,41544248,43382468,45898709,54306462,662,yes
fy-2026-27-program-based-1011-2151,1152,State Department for Energy,1152,State Department for Energy,vote,capital,econ,2100000,Compensation to Employees,4000000,4000000,4000000,4000000,662,yes
